lemma,bridge_rank,pos,,
magnus,35,Adjective,,
sum,1,Verb,,
dominus,190,Noun,,
et,2,Conjunction,,
laudabilis,4696,Adjective,,
valde,2298,Adverb,,
virtus,123,Noun,,
tuus,36,Adjective,,
sapientia,893,Noun,,
non,6,Adverb,,
numerus,330,Noun,,
laudo,357,Verb,,
tu,10,Pronoun,,
volo,50,Verb,,
homo,49,Noun,,
aliquis,84,Pronoun,,
portio,4371,Noun,,
creatura,6740,Noun,,
circumfero,3203,Verb,,
mortalitas,4981,Noun,,
suus,24,Adjective,,
testimonium,937,Noun,,
peccatum,2079,Noun,,
quia,114,Conjunction,,
superbus,937,Adjective,,
resisto,1058,Verb,,
tamen,51,Adverb,,
excito,932,Verb,,
ut,11,Conjunction,,
delecto,1025,Verb,,
facio,25,Verb,,
nos,58,Pronoun,,
ad,13,Preposition,,
inquietus,4016,Adjective,,
cor,788,Noun,,
noster,59,Adjective,,
donec,861,Conjunction,,
requiesco,3055,Verb,,
in,4,Preposition,,
do,33,Verb,,
ego,9,Pronoun,,
scio,125,Verb,,
intellego,328,Verb,,
utrum,977,Adverb,,
prior,271,Number,,
invoco,2863,Verb,,
an,118,Adverb,,
sed,17,Conjunction,,
quis,14,Pronoun,,
nescio,420,Verb,,
alius,46,Adjective,,
enim,44,Conjunction,,
pro,98,Preposition,,
possum,21,Verb,,
potius,467,Adverb,,
quomodo,685,Adverb,,
autem,86,Conjunction,,
qui,3,Pronoun,,
credo,111,Verb,,
aut,37,Conjunction,,
sine,112,Preposition,,
praedico,1897,Verb,,
requiro,1088,Verb,,
is,8,Pronoun,,
quaero,119,Verb,,
invenio,260,Verb,,
fides,173,Noun,,
meus,32,Adjective,,
inspiro,6512,Verb,,
per,40,Preposition,,
humanitas,1742,Noun,,
filius,155,Noun,,
ministerium,2219,Noun,,
praedicator,9485,Noun,,
deus,53,Noun,,
quoniam,372,Conjunction,,
utique,1852,Adverb,,
ipse,23,Pronoun,,
cum,20,Conjunction,,
locus,68,Noun,,
quo,383,Adverb,,
venio,60,Verb,,
caelum,229,Noun,,
terra,100,Noun,,
ita,78,Adverb,,
–ne,198,Adverb,,
quisquam,207,Pronoun,,
capio,140,Verb,,
vero,136,Adverb,,
